Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P29952,Mannose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMI40 PE=1 SV=4,PMI40,15,15,1.454,1.319,1.493,0.746,0.788,0.745,0.954,0.86,0.722,Cytoplasm.,cytoplasm [GO:0005737],34,21
P07278,cAMP-dependent protein kinase regulatory subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCY1 PE=1 SV=4,BCY1,15,15,0.85,1.11,0.957,1.155,1.186,0.776,1.119,0.935,0.679,Cytoplasm. Nucleus. Note=Cytoplasmic when phosphorylated. Nuclear when not phosphorylated.,cytoplasm [GO:0005737];nuclear chromatin [GO:0000790];nucleus [GO:0005634];plasma membrane [GO:0005886];cAMP-dependent protein kinase complex [GO:0005952],45,21
Q12271,Polyphosphatidylinositol phosphatase INP53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP53 PE=1 SV=1,INP53,18,18,1.34,1.302,1.23,0.853,0.904,0.755,1.035,0.849,0.603,"Cytoplasm {ECO:0000269|PubMed:11094088, ECO:0000269|PubMed:14562095}. Note=Cytoplasmic punctate structures. Hyperosmotic stress causes translocation to actin patches.",cytoplasm [GO:0005737];membrane [GO:0016020];actin cortical patch [GO:0030479],17,21
P50110,Sorting assembly machinery 37 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM37 PE=1 SV=1,SAM37,9,9,0.783,0.674,0.639,1.215,1.112,1.37,1.013,1.344,1.784,Multi-pass membrane protein {ECO:0000269|PubMed:16823961}.;Mitochondrion outer membrane {ECO:0000269|PubMed:16823961},mitochondrial outer membrane [GO:0005741];mitochondrial sorting and assembly machinery complex [GO:0001401];integral component of membrane [GO:0016021],24,20
Q08023,"Protein FMP25, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP25 PE=4 SV=1",FMP25,16,16,0.551,0.499,0.45,1.169,1.149,1.436,0.786,1.054,1.28,Single-pass membrane protein {ECO:0000305}.;Mitochondrion membrane {ECO:0000305},integral component of mitochondrial inner membrane [GO:0031305],32,20
Q08921,Target of rapamycin complex 1 subunit TCO89 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCO89 PE=1 SV=1,TCO89,16,16,1.326,1.044,1.404,0.912,1.028,0.893,0.792,0.733,0.607,"Cytoplasmic side. Note=Also localizes to membranous structures both proximal to, yet distinct from, the plasma membrane as well as within the cell interior, probably endosomal or Golgi membranes.;Cytoplasmic side. Vacuole membrane;Peripheral membrane protein;Cell membrane",extrinsic component of vacuolar membrane [GO:0000306];fungal-type vacuole membrane [GO:0000329];TORC1 complex [GO:0031931];extrinsic component of cytoplasmic side of plasma membrane [GO:0031234],30,20
P29509,Thioredoxin reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRR1 PE=1 SV=3,TRR1,10,10,1.327,1.205,1.377,0.619,0.659,0.646,0.901,0.811,0.723,Cytoplasm. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,mitochondrial intermembrane space [GO:0005758];cytosol [GO:0005829],49,20
Q03823,Uncharacterized protein YMR160W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR160W PE=1 SV=1,,16,16,1.498,1.115,1.477,0.972,1.062,1.027,0.865,0.867,0.779,,,20,20
P39013,Actin cytoskeleton-regulatory complex protein END3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=END3 PE=1 SV=1,END3,15,15,1.379,1.364,1.31,0.714,0.807,0.723,0.909,0.766,0.613,"Cytoplasmic side. Cytoplasm, cytoskeleton, actin patch. Note=Cytoplasmic and cortical actin patches.;Cytoplasmic side. Endosome membrane;Peripheral membrane protein;Cell membrane",endosome membrane [GO:0010008];plasma membrane [GO:0005886];actin cortical patch [GO:0030479],51,20
P53903,Processing of GAS1 and ALP protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PGA2 PE=1 SV=3,PGA2,11,11,1.518,1.325,1.497,0.821,0.717,0.532,1.158,0.776,0.468,Single-pass membrane protein {ECO:0000255}.;Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:14690591};Endoplasmic reticulum membrane {ECO:0000269|PubMed:14690591},integral component of membrane [GO:0016021];nuclear membrane [GO:0031965];endoplasmic reticulum membrane [GO:0005789],64,20
Q03124,Chromatin structure-remodeling complex subunit RSC9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC9 PE=1 SV=1,RSC9,16,16,0.888,1.412,1.22,1.23,1.234,0.893,1.276,0.735,0.37,"Nucleus {ECO:0000255|PROSITE-ProRule:PRU00858, ECO:0000269|PubMed:11931764, ECO:0000269|PubMed:12697820}. Note=Localizes to centromeric and flanking chromatin. Association with these loci is dependent on STH1.",RSC-type complex [GO:0016586],25,20
P24279,DNA replication licensing factor MCM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM3 PE=1 SV=1,MCM3,19,19,0.964,1.288,1.172,1.37,1.306,0.995,1.115,0.823,0.455,Nucleus.,"CMG complex [GO:0071162];cytoplasm [GO:0005737];DNA replication preinitiation complex [GO:0031261];MCM complex [GO:0042555];nuclear pre-replicative complex [GO:0005656];nucleoplasm [GO:0005654];nucleus [GO:0005634];replication fork protection complex [GO:0031298];chromosome, telomeric region [GO:0000781]",22,20
P30775,"Peptide chain release factor 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRF1 PE=1 SV=1",MRF1,13,13,0.554,0.544,0.464,1.278,1.26,1.531,1.09,1.352,1.9,Mitochondrion.,mitochondrion [GO:0005739],32,20
P03876,Putative COX1/OXI3 intron 2 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AI2 PE=4 SV=2,AI2,13,12,0.647,0.548,0.53,1.173,1.041,1.252,0.952,1.273,1.408,Mitochondrion {ECO:0000305}.,mitochondrion [GO:0005739];integral component of membrane [GO:0016021],15,20
P87108,Mitochondrial import inner membrane translocase subunit TIM10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM10 PE=1 SV=1,TIM10,8,8,0.466,0.482,0.373,0.993,0.835,0.962,0.858,1.021,1.521,"Intermembrane side {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:8955274, ECO:0000269|PubMed:9236772, ECO:0000269|PubMed:9889188}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.;Peripheral membrane protein {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:8955274, ECO:0000269|PubMed:9236772, ECO:0000269|PubMed:9889188};Mitochondrion inner membrane {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:8955274, ECO:0000269|PubMed:9236772, ECO:0000269|PubMed:9889188}",mitochondrial inner membrane protein insertion complex [GO:0042721];mitochondrial intermembrane space [GO:0005758];mitochondrial intermembrane space protein transporter complex [GO:0042719];mitochondrial inner membrane [GO:0005743],58,20
P54780,60S ribosomal protein L15-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL15B PE=1 SV=2,RPL15B,10,2,1.257,1.152,1.525,0.499,0.566,0.429,0.691,0.557,0.326,Cytoplasm {ECO:0000269|PubMed:22096102}.,cytosolic large ribosomal subunit [GO:0022625],44,20
P23255,Transcription initiation factor TFIID subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF2 PE=1 SV=3,TAF2,18,18,0.904,1.323,1.167,1.437,1.509,1.128,1.428,0.833,0.453,Nucleus.,transcription factor TFIID complex [GO:0005669],14,20
P13259,Choline-phosphate cytidylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PCT1 PE=1 SV=2,PCT1,14,14,1.824,1.546,1.802,0.631,0.619,0.558,0.599,0.574,0.416,Membrane. Note=Most of its activity is membrane-associated.,membrane [GO:0016020];nuclear envelope [GO:0005635];nucleus [GO:0005634];Golgi apparatus [GO:0005794],30,20
P53889,Uncharacterized mitochondrial hydrolase FMP41 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP41 PE=1 SV=1,FMP41,12,12,0.833,0.796,0.68,1.036,0.943,1.211,1.025,1.269,1.507,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],44,20
P69771,Vacuolar protein-sorting-associated protein 46 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DID2 PE=1 SV=1,DID2,10,10,0.944,0.953,0.836,1.237,1.327,1.058,1.232,1.027,0.886,Peripheral membrane protein. Endomembrane system;Peripheral membrane protein. Note=Endosomal and other punctate structures.;Endosome membrane,endosome membrane [GO:0010008];late endosome [GO:0005770];cytoplasm [GO:0005737],47,20
P53318,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COQ6 PE=1 SV=1",COQ6,14,14,1.241,1.104,0.865,0.812,0.826,0.853,1.14,1.2,1.426,"Matrix side {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:12721307}.;Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:12721307};Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:12721307, ECO:0000269|PubMed:14576278}",mitochondrial inner membrane [GO:0005743],40,20
P17555,Adenylyl cyclase-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRV2 PE=1 SV=1,SRV2,13,13,1.398,2.454,1.517,0.707,0.853,0.774,0.878,0.748,0.59,"Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:8552082}. Note=Cortical actin patches.",actin cortical patch [GO:0030479],32,20
Q01080,DNA-directed RNA polymerase I subunit RPA49 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA49 PE=1 SV=2,RPA49,16,16,0.608,1.689,0.79,1.051,1.089,0.661,1.403,0.765,0.4,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.",nucleolus [GO:0005730];DNA-directed RNA polymerase I complex [GO:0005736],38,20
P10823,Guanine nucleotide-binding protein alpha-2 subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPA2 PE=1 SV=2,GPA2,15,15,0.944,0.977,1.227,0.943,1.082,1.079,0.883,1.028,1.061,"Cytoplasmic side {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16030250}.;Lipid-anchor {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16030250};Cell membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16030250}",plasma membrane [GO:0005886];heterotrimeric G-protein complex [GO:0005834],45,20
P38817,ADP-ribosylation factor-binding protein GGA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GGA2 PE=1 SV=1,GGA2,13,13,1.142,1.079,1.12,1.325,1.2,1.06,1.263,1.31,0.98,"Golgi apparatus, trans-Golgi network.",cytosol [GO:0005829];trans-Golgi network [GO:0005802];clathrin adaptor complex [GO:0030131],24,20
P53045,Methylsterol monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG25 PE=1 SV=1,ERG25,5,5,1.894,1.572,1.617,0.576,0.557,0.411,0.65,0.504,0.254,"Single-pass membrane protein {ECO:0000305|PubMed:12119386, ECO:0000305|PubMed:15716577, ECO:0000305|PubMed:8663358}.;Endoplasmic reticulum membrane {ECO:0000305|PubMed:12119386, ECO:0000305|PubMed:15716577, ECO:0000305|PubMed:8663358}",integral component of membrane [GO:0016021];plasma membrane [GO:0005886];endoplasmic reticulum membrane [GO:0005789],8,20
P36037,Protein DOA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOA1 PE=1 SV=1,DOA1,16,16,1.235,1.309,1.457,0.992,1.019,0.937,1.097,1.051,0.834,Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],25,20
P48525,"Glutamate--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSE1 PE=1 SV=2",MSE1,16,16,0.726,0.633,0.557,1.15,1.074,1.308,1.056,1.377,1.625,Mitochondrion matrix.,mitochondrion [GO:0005739];mitochondrial matrix [GO:0005759],30,20
P19659,Mediator of RNA polymerase II transcription subunit 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAL11 PE=1 SV=3,GAL11,11,11,0.934,0.826,0.782,0.87,0.824,0.864,0.938,0.968,0.841,"Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:16630888}.",mediator complex [GO:0016592];core mediator complex [GO:0070847],12,20
Q12056,"Iron sulfur cluster assembly protein 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISU2 PE=1 SV=1",ISU2,10,6,1.384,1.185,0.994,0.353,0.373,0.413,0.599,0.606,0.773,"Mitochondrion matrix {ECO:0000269|PubMed:10468587, ECO:0000269|PubMed:10588895}.",mitochondrial matrix [GO:0005759],62,20
P33893,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET112 PE=1 SV=3",PET112,14,14,0.773,0.707,0.644,1.154,1.098,1.398,1.124,1.409,1.528,"Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03147, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:19417106}.",mitochondrion [GO:0005739];glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956],29,20
P38065,AP-2 complex subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APL3 PE=1 SV=1,APL3,18,18,1.617,1.239,1.428,0.834,0.927,0.894,0.845,0.825,0.648,"Cytoplasmic side. Note=Component of the coat surrounding the cytoplasmic face of coated vesicles in the plasma membrane.;Peripheral membrane protein;Cell membrane. Membrane, coated pit",cellular bud neck [GO:0005935];AP-2 adaptor complex [GO:0030122],17,20
Q08001,Membrane-anchored lipid-binding protein LAM6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAM6 PE=1 SV=1,LAM6,13,13,0.792,0.78,0.695,1.201,1.16,1.179,1.243,1.458,1.716,"Single-pass membrane protein {ECO:0000255}. Note=Localizes to intracellular puncta representing endoplasmic reticulum-mitochondrion membrane contact sites (ERMES), nucleus-vacuole junctions (NVJ) and vacuole-mitochondria patches (vCLAMP) (PubMed:14562095, PubMed:26119743, PubMed:26001273, PubMed:25987606). Localization to ER-mitochondria contacts is dependent on TOM70/TOM71, and localisation to ER-vacuole junctions on VAC8 (PubMed:25987606). {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:25987606, ECO:0000269|PubMed:26001273, ECO:0000269|PubMed:26119743}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:26001273}",ER-mitochondrion membrane contact site [GO:0044233];integral component of membrane [GO:0016021];nucleus-vacuole junction [GO:0071561];vacuole-mitochondrion membrane contact site [GO:1990816];endoplasmic reticulum membrane [GO:0005789],23,20
P38353,Sec sixty-one protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSH1 PE=1 SV=1,SSH1,8,8,1.559,1.314,1.478,0.888,0.781,0.622,1.059,0.79,0.444,Multi-pass membrane protein.;Endoplasmic reticulum membrane,Ssh1 translocon complex [GO:0071261];integral component of membrane [GO:0016021],13,20
P49723,Ribonucleoside-diphosphate reductase small chain 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNR4 PE=1 SV=1,RNR4,14,14,1.056,1.16,1.178,0.98,1.202,1.054,0.913,0.808,0.658,"Nucleus {ECO:0000269|PubMed:12732713, ECO:0000269|PubMed:18851834}. Note=Found predominantly in the nucleus under normal growth conditions and is redistributed to the cytoplasm in damaged cells in a DNA replication and damage checkpoint-dependent manner. Nuclear localization is mediated by DIF1.",nucleus [GO:0005634];ribonucleoside-diphosphate reductase complex [GO:0005971];cytoplasm [GO:0005737],39,20
P25045,Serine palmitoyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB1 PE=1 SV=2,LCB1,10,10,1.434,1.193,1.318,0.851,0.799,0.676,1.055,0.763,0.465,Multi-pass membrane protein.;Cytoplasm. Endoplasmic reticulum membrane,serine C-palmitoyltransferase complex [GO:0017059];SPOTS complex [GO:0035339];integral component of membrane [GO:0016021],22,20
Q06409,DOCK-like protein YLR422W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR422W PE=1 SV=1,,15,15,1.169,1.147,1.175,1.057,1.104,0.827,1.052,0.918,0.699,Cytoplasm {ECO:0000269|PubMed:14562095}.,plasma membrane [GO:0005886];mitochondrion [GO:0005739],9,20
P53011,Nucleoporin SEH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEH1 PE=1 SV=1,SEH1,12,12,0.86,1.446,1.342,1.36,1.589,1.113,1.286,0.828,0.489,"Cytoplasmic side {ECO:0000269|PubMed:10684247}. Vacuole membrane {ECO:0000269|PubMed:21454883};Nucleoplasmic side {ECO:0000269|PubMed:10684247}. Note=Symmetric distribution. {ECO:0000269|PubMed:10684247}.;Peripheral membrane protein {ECO:0000269|PubMed:10684247};Peripheral membrane protein {ECO:0000269|PubMed:21454883}. Nucleus membrane {ECO:0000269|PubMed:10684247};Nucleus, nuclear pore complex {ECO:0000269|PubMed:10684247}. Nucleus membrane {ECO:0000269|PubMed:10684247}",nuclear membrane [GO:0031965];nuclear pore [GO:0005643];nuclear pore outer ring [GO:0031080];Seh1-associated complex [GO:0035859];extrinsic component of fungal-type vacuolar membrane [GO:0097042],44,20
P25555,Single-strand telomeric DNA-binding protein GBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GBP2 PE=1 SV=1,GBP2,12,12,1.168,1.687,1.17,0.935,0.954,0.778,1.316,1.013,0.775,"Nucleus {ECO:0000305}. Chromosome, telomere.","cytoplasmic stress granule [GO:0010494];cytosol [GO:0005829];nucleus [GO:0005634];chromosome, telomeric region [GO:0000781]",28,20
P32588,Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUB1 PE=1 SV=4,PUB1,9,9,0.879,1.298,1.011,0.675,0.773,0.551,1.123,0.773,0.65,Cytoplasm. Nucleus.,cytoplasmic stress granule [GO:0010494];nucleus [GO:0005634];P-body [GO:0000932];cytoplasm [GO:0005737],21,20
P32522,"Pentatricopeptide repeat-containing protein PET309, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PET309 PE=1 SV=1",PET309,17,17,0.783,0.69,0.619,1.367,1.277,1.627,1.143,1.54,1.671,Single-pass membrane protein {ECO:0000305}.;Mitochondrion inner membrane {ECO:0000305},integral component of membrane [GO:0016021];mitochondrial matrix [GO:0005759];extrinsic component of mitochondrial inner membrane [GO:0031314],20,20
P38754,60S ribosomal protein L14-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL14B PE=1 SV=1,RPL14B,10,2,1.252,1.394,1.478,0.893,1.098,0.842,0.976,0.949,0.58,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.",cytosolic large ribosomal subunit [GO:0022625],44,20
P36035,Carboxylic acid transporter protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JEN1 PE=1 SV=1,JEN1,12,12,0.161,0.158,0.194,1.516,1.367,1.202,2.472,1.934,1.685,Multi-pass membrane protein.;Membrane,plasma membrane [GO:0005886];integral component of membrane [GO:0016021],19,20
P39743,Reduced viability upon starvation protein 167 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RVS167 PE=1 SV=1,RVS167,11,10,1.142,1.089,1.172,0.989,0.853,0.718,0.987,0.761,0.63,"Cytoplasm, cytoskeleton.",mating projection tip [GO:0043332];Rvs161p-Rvs167p complex [GO:1990528];trans-Golgi network [GO:0005802];actin cortical patch [GO:0030479],24,20
P32353,Delta(7)-sterol 5(6)-desaturase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG3 PE=1 SV=1,ERG3,10,10,1.669,1.189,1.53,0.873,0.864,0.668,0.612,0.482,0.258,Multi-pass membrane protein {ECO:0000305}.;Endoplasmic reticulum membrane {ECO:0000305},endoplasmic reticulum membrane [GO:0005789];integral component of membrane [GO:0016021];endoplasmic reticulum lumen [GO:0005788],21,20
P06780,GTP-binding protein RHO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO1 PE=1 SV=3,RHO1,9,9,1.297,1.16,1.403,0.809,0.836,0.809,0.842,0.81,0.776,"Lipid-anchor. Endosome membrane;Lipid-anchor. Note=Plasma membrane-associated at sites of polarized growth such as incipient bud sites, bud tips, the bud neck during cytokinesis, and the neck and tip of mating projections. Also found on internal membranes of endosomes and peroxisomes.;Lipid-anchor. Peroxisome membrane;Cell membrane","cellular bud neck [GO:0005935];cellular bud tip [GO:0005934];endosome membrane [GO:0010008];fungal-type vacuole membrane [GO:0000329];Golgi apparatus [GO:0005794];incipient cellular bud site [GO:0000131];mating projection tip [GO:0043332];peroxisomal membrane [GO:0005778];peroxisome [GO:0005777];1,3-beta-D-glucan synthase complex [GO:0000148]",41,20
Q12256,Polyamine transporter 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO4 PE=1 SV=1,TPO4,10,10,1.823,1.443,2.159,0.288,0.297,0.3,0.868,0.697,0.634,"Multi-pass membrane protein {ECO:0000269|PubMed:12562762, ECO:0000269|PubMed:14562095}.;Cell membrane {ECO:0000269|PubMed:12562762, ECO:0000269|PubMed:14562095}",integral component of membrane [GO:0016021];plasma membrane [GO:0005886];fungal-type vacuole membrane [GO:0000329],21,20
P35194,U3 small nucleolar RNA-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP20 PE=1 SV=3,UTP20,16,15,1.045,1.443,0.948,1.024,1.003,0.79,1.236,0.947,0.732,"Cytoplasm. Nucleus, nucleolus.","cytoplasm [GO:0005737];nucleolus [GO:0005730];nucleoplasm [GO:0005654];preribosome, small subunit precursor [GO:0030688];small-subunit processome [GO:0032040];90S preribosome [GO:0030686]",8,20
P35691,Translationally-controlled tumor protein homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMA19 PE=1 SV=1,TMA19,11,11,1.313,1.485,1.571,0.627,0.715,0.643,1.045,0.811,0.644,"Cytoplasm, cytoskeleton. Mitochondrion. Note=After induction of apoptosis or mild oxidative stress, reversibly translocates from the cytoplasm to mitochondria, where it is associated with the outer surface.",cytosol [GO:0005829];microtubule [GO:0005874];mitochondrion [GO:0005739];cytoplasmic stress granule [GO:0010494],44,20
P53120,Uncharacterized membrane protein YGL140C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL140C PE=1 SV=1,,16,16,1.664,1.387,1.607,0.861,0.828,0.659,1.06,0.771,0.466,Multi-pass membrane protein.;Membrane,vacuolar membrane [GO:0005774];integral component of membrane [GO:0016021],14,20
Q03557,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HER2 PE=1 SV=1",HER2,15,15,0.723,0.638,0.607,1.095,1.192,1.454,1.13,1.451,1.676,"Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03150, ECO:0000269|PubMed:11914276, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:19417106}.",glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956];mitochondrion [GO:0005739];extrinsic component of mitochondrial inner membrane [GO:0031314],32,20
P40016,26S proteasome regulatory subunit RPN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN3 PE=1 SV=5,RPN3,14,14,1.204,1.21,1.211,0.991,1.129,1.064,1.117,1.076,0.901,,"proteasome regulatory particle, lid subcomplex [GO:0008541]",25,20
Q08977,UPF0662 protein YPL260W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL260W PE=1 SV=1,,14,14,1.3,1.176,1.391,0.959,1.083,1.078,1.027,1.028,0.884,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],23,20
P0C0X0,40S ribosomal protein S28-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS28B PE=1 SV=1,RPS28B,6,6,1.06,1.19,1.157,0.456,0.454,0.388,0.757,0.528,0.419,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.",cytosolic small ribosomal subunit [GO:0022627],63,20
P53865,Chaotic nuclear migration protein 67 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CNM67 PE=1 SV=1,CNM67,17,17,1.04,1.324,1.436,1.266,1.321,0.975,1.248,0.81,0.562,"Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:9571234}. Note=Localizes to the meiotic outer plaque of the SPB, at the end of the meiotic spindles.",spindle pole body [GO:0005816];outer plaque of spindle pole body [GO:0005824],29,20
Q12486,Putative uncharacterized hydrolase YOR131C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR131C PE=1 SV=1,,10,10,0.731,0.65,0.671,1.251,1.112,1.368,0.96,1.244,1.689,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],54,20
P47018,Maintenance of telomere capping protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTC1 PE=1 SV=1,MTC1,17,17,1.409,1.568,1.697,1.214,1.401,1.321,1.233,1.18,0.964,"Cytoplasm {ECO:0000269|PubMed:14562095}. Cytoplasmic vesicle, COPI-coated vesicle {ECO:0000269|PubMed:14562095}.",COPI-coated vesicle [GO:0030137],35,20
P32855,Exocyst complex component SEC8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC8 PE=1 SV=1,SEC8,17,17,1.413,1.287,1.508,0.749,0.786,0.828,0.857,0.886,0.832,Peripheral membrane protein. Note=75% cytoplasmic. 25% associated with the cell membrane.;Cytoplasm. Cell membrane,cellular bud tip [GO:0005934];exocyst [GO:0000145];incipient cellular bud site [GO:0000131];plasma membrane [GO:0005886];cellular bud neck [GO:0005935],16,19
P52891,Nucleoporin NUP84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP84 PE=1 SV=1,NUP84,16,16,0.674,1.246,1.254,1.442,1.6,1.051,1.34,0.784,0.447,"Cytoplasmic side. Nucleus membrane;Nucleoplasmic side. Note=Symmetric distribution.;Peripheral membrane protein;Nucleus, nuclear pore complex. Nucleus membrane","nuclear membrane [GO:0031965];nuclear pore [GO:0005643];nuclear pore outer ring [GO:0031080];chromosome, telomeric region [GO:0000781]",24,19
